id;thumbnail;full_text
1835566536855027918;https://pbs.twimg.com/media/GXi-fIeW8AAHBkb?format=jpg&name=thumb;"Neo-Tech Minimalism (new!)

Clean, technological, and futuristic, japanese? :-)

--sref 133953502 https://t.co/KyyiCdcsxd"
1835664526345216407;https://pbs.twimg.com/media/GXmXAXtXoAAJZyZ?format=jpg&name=thumb;"Royal Darkness

Death in its most beautiful form. 
(What a marble!!!)

--sref 342934567 by The lostastronaut  ( @dlostastronaut )"
1835680173317829013;https://pbs.twimg.com/media/GXmlNKsW8AIUGKq?format=jpg&name=thumb;"This style reference is one of the best I have found for comic books:

--sref 1865635613

And I say this not only because of its cool aesthetics, but also because it usually features the characters in action packed shots. Batman looks particularly good.

Also, and this is the first time I've seen this, this sref can sometimes create panels, as in the case of The Flash."
1835680173317829013;https://pbs.twimg.com/media/GXmlOKvWYAAXYHb?format=jpg&name=thumb;"This style reference is one of the best I have found for comic books:

--sref 1865635613

And I say this not only because of its cool aesthetics, but also because it usually features the characters in action packed shots. Batman looks particularly good.

Also, and this is the first time I've seen this, this sref can sometimes create panels, as in the case of The Flash."
1835680173317829013;https://pbs.twimg.com/media/GXmlQoSXQAAQSnm?format=jpg&name=thumb;"This style reference is one of the best I have found for comic books:

--sref 1865635613

And I say this not only because of its cool aesthetics, but also because it usually features the characters in action packed shots. Batman looks particularly good.

Also, and this is the first time I've seen this, this sref can sometimes create panels, as in the case of The Flash."
1835680173317829013;https://pbs.twimg.com/media/GXmlR0kWQAA2_L2?format=jpg&name=thumb;"This style reference is one of the best I have found for comic books:

--sref 1865635613

And I say this not only because of its cool aesthetics, but also because it usually features the characters in action packed shots. Batman looks particularly good.

Also, and this is the first time I've seen this, this sref can sometimes create panels, as in the case of The Flash."
1835686090055057657;https://pbs.twimg.com/media/GXmqgWRa8AEqhEa?format=jpg&name=thumb;"Style Reference Share --sref 3810469411

Predominantly dark and navy tones, just how I like it."
1835687607277322572;https://pbs.twimg.com/media/GXmsJGpboAAhmAR?format=jpg&name=thumb;"Happy new week everyone!

I started creating a Midjourney Style Explorers list.

Let's start with a truly hidden gem.

--sref 1344987868 by @promptgoodness https://t.co/NhmXt2yw13"
1835690702849630406;https://pbs.twimg.com/media/GXmunxmXAAAWLst?format=jpg&name=thumb;"Project_SREF Explorations 041
[Distant Broken Memories]🟨🟩⬛️
--sref 3791706573
This Sref conveys a deeply introspective atmosphere, filled with melancholy. Marked by a melancholic and somber atmosphere, highlighted by a cold, muted color palette dominated by dark greens, grays, and subtle golden tones. The visual elements communicate a sense of isolation and a tenuous connection to the natural world, as if the viewer is observing a frozen moment in time, just before or after an emotional storm. 
I'd love to see what you can do with your creativity. Want to give it a try?"
1835690702849630406;https://pbs.twimg.com/ext_tw_video_thumb/1835690379049373696/pu/img/zKLxbJ6etoAFUGaO.jpg?name=thumb;"Project_SREF Explorations 041
[Distant Broken Memories]🟨🟩⬛️
--sref 3791706573
This Sref conveys a deeply introspective atmosphere, filled with melancholy. Marked by a melancholic and somber atmosphere, highlighted by a cold, muted color palette dominated by dark greens, grays, and subtle golden tones. The visual elements communicate a sense of isolation and a tenuous connection to the natural world, as if the viewer is observing a frozen moment in time, just before or after an emotional storm. 
I'd love to see what you can do with your creativity. Want to give it a try?"
